Month,App,City ID,Basket,Payment to Merchants,Trips,Total Eater Fees,Gross Bookings,Payments to Couriers,Incentive to Existing Eaters,Incentive to New Eaters,Discount due to other promotions/subscriptions,Revenue gained due to subscription,Net Revenue,New Eaters,Active Eaters,%SMB,%ENT
2023-04-01,UberEats,A1,749681.0,-590873.0,25197.0,151809.0,967549.0,-92570.0,-48318.0,-4761.0,-36181.0,10945.0,128543.0,499.0,6949.0,0.8347,0.1653
2023-05-01,UberEats,A1,758758.0,-599069.0,25682.0,157347.0,982367.0,-98421.0,-40672.0,-5123.0,-36479.0,12585.0,141084.0,552.0,7112.0,0.8344,0.1656
2023-06-01,UberEats,A1,732942.0,-579434.0,24996.0,151654.0,949083.0,-85272.0,-30752.0,-5490.0,-34574.0,13031.0,150956.0,589.0,7002.0,0.8377,0.1623
2022-06-01,UberEats,A2,244111.0,-195057.0,9033.0,58394.0,321942.0,-39883.0,-5426.0,-1367.0,-8998.0,3689.0,52730.0,170.0,2598.0,0.815,0.185
2022-07-01,UberEats,A2,262713.0,-210994.0,9600.0,61893.0,345593.0,-37591.0,-8209.0,-1264.0,-12263.0,3992.0,42653.0,176.0,2660.0,0.8325,0.1675
2022-08-01,UberEats,A2,257576.0,-206676.0,9414.0,61992.0,340251.0,-35916.0,-10557.0,-1201.0,-13340.0,4024.0,46423.0,169.0,2636.0,0.8304,0.1696
2022-09-01,UberEats,A2,252042.0,-203149.0,9082.0,61804.0,334079.0,-33434.0,-7516.0,-1242.0,-14116.0,3818.0,48080.0,159.0,2633.0,0.8206,0.1794
2022-10-01,UberEats,A2,265897.0,-213296.0,9359.0,65665.0,352687.0,-35007.0,-7598.0,-1385.0,-16852.0,4160.0,52118.0,164.0,2731.0,0.8142,0.1858
2022-11-01,UberEats,A2,245440.0,-197556.0,8741.0,60112.0,325190.0,-32924.0,-4757.0,-1333.0,-14961.0,4310.0,53464.0,146.0,2596.0,0.8069,0.1931
2022-12-01,UberEats,A2,261111.0,-210032.0,9097.0,63795.0,345730.0,-31337.0,-6235.0,-1439.0,-16103.0,4470.0,56772.0,143.0,2605.0,0.8125,0.1875
2023-01-01,UberEats,A2,274579.0,-220705.0,9679.0,67324.0,363813.0,-29480.0,-8195.0,-1354.0,-18299.0,4594.0,62499.0,152.0,2658.0,0.8147,0.18530000000000002
2023-02-01,UberEats,A2,258209.0,-206928.0,8956.0,62162.0,340963.0,-29636.0,-8475.0,-916.0,-18077.0,4339.0,53706.0,138.0,2600.0,0.8156,0.1844
2023-03-01,UberEats,A2,303699.0,-244901.0,10521.0,74246.0,402010.0,-34458.0,-10437.0,-817.0,-21015.0,4777.0,60832.0,171.0,2871.0,0.8145,0.1855
2023-04-01,UberEats,A2,296077.0,-238766.0,10251.0,71981.0,391557.0,-35111.0,-8458.0,-1372.0,-20401.0,4834.0,61484.0,167.0,2856.0,0.8129000000000001,0.18710000000000002
2023-05-01,UberEats,A2,293871.0,-237381.0,10150.0,70041.0,387008.0,-35107.0,-10258.0,-1236.0,-18990.0,5494.0,63844.0,164.0,2793.0,0.8193,0.1807
2023-06-01,UberEats,A2,284331.0,-229953.0,9884.0,67439.0,374052.0,-35804.0,-6237.0,-1307.0,-18146.0,5673.0,62649.0,174.0,2724.0,0.8219,0.17809999999999998
2022-06-01,UberEats,B1,500918.0,-397273.0,18171.0,114673.0,649215.0,-67298.0,-11260.0,-3006.0,-21823.0,6743.0,101386.0,335.0,4997.0,0.8020999999999999,0.1979
2022-07-01,UberEats,B1,513794.0,-411005.0,18432.0,113135.0,661454.0,-61842.0,-13601.0,-2928.0,-24532.0,7243.0,97253.0,362.0,5035.0,0.8001,0.1999
2022-08-01,UberEats,B1,518868.0,-414023.0,18655.0,114070.0,667975.0,-67102.0,-19050.0,-2324.0,-25064.0,7119.0,86399.0,331.0,5119.0,0.8034,0.1966
2022-09-01,UberEats,B1,521420.0,-415968.0,18238.0,118349.0,674914.0,-65484.0,-21308.0,-2455.0,-28592.0,6566.0,78897.0,328.0,5121.0,0.8099,0.19010000000000002
2022-10-01,UberEats,B1,580791.0,-462090.0,19974.0,127972.0,748024.0,-71399.0,-25025.0,-2681.0,-31751.0,7303.0,84549.0,336.0,5421.0,0.8186,0.1814
2022-11-01,UberEats,B1,549047.0,-437812.0,19085.0,119672.0,705788.0,-70448.0,-17939.0,-2843.0,-28433.0,7433.0,98285.0,310.0,5271.0,0.8093,0.1907
2022-12-01,UberEats,B1,572197.0,-456109.0,19343.0,131599.0,742190.0,-69918.0,-19307.0,-3377.0,-34915.0,7975.0,111104.0,319.0,5401.0,0.8057,0.1943
2023-01-01,UberEats,B1,572609.0,-455323.0,19654.0,127712.0,738894.0,-61741.0,-20107.0,-2532.0,-34093.0,8024.0,121751.0,316.0,5331.0,0.8129000000000001,0.18710000000000002
2023-02-01,UberEats,B1,565270.0,-450406.0,19463.0,128560.0,731749.0,-64963.0,-23407.0,-1666.0,-36641.0,7766.0,113661.0,294.0,5300.0,0.8047,0.1953
2023-03-01,UberEats,B1,639165.0,-511038.0,21845.0,145205.0,827084.0,-77298.0,-26038.0,-1290.0,-42550.0,8435.0,123156.0,344.0,5648.0,0.8048000000000001,0.19519999999999998
2023-04-01,UberEats,B1,617548.0,-497229.0,20932.0,136947.0,795538.0,-77297.0,-23357.0,-2334.0,-40713.0,8433.0,110057.0,305.0,5524.0,0.7995,0.2005
2023-05-01,UberEats,B1,579818.0,-465541.0,19868.0,116427.0,734920.0,-77474.0,-20482.0,-2282.0,-29107.0,8937.0,105616.0,322.0,5520.0,0.8001999999999999,0.1998
2023-06-01,UberEats,B1,556253.0,-446910.0,19068.0,110888.0,704014.0,-78526.0,-8090.0,-2318.0,-26083.0,9396.0,104529.0,353.0,5365.0,0.8019,0.1981
2022-06-01,UberEats,C1,85924.0,-68469.0,3126.0,22144.0,116471.0,-13549.0,-2740.0,-1345.0,-4707.0,1926.0,18318.0,137.0,1172.0,0.8001,0.1999
2022-07-01,UberEats,C1,97946.0,-78971.0,3529.0,22652.0,130028.0,-14486.0,-4060.0,-1369.0,-5087.0,2078.0,17419.0,152.0,1272.0,0.8112,0.1888
2022-08-01,UberEats,C1,95620.0,-76597.0,3483.0,22241.0,127102.0,-13539.0,-4264.0,-1233.0,-5101.0,2089.0,18555.0,141.0,1236.0,0.8129000000000001,0.18710000000000002
2022-09-01,UberEats,C1,94478.0,-75536.0,3350.0,22361.0,125978.0,-12904.0,-4387.0,-1220.0,-5468.0,2024.0,17574.0,131.0,1207.0,0.8038,0.1962
2022-10-01,UberEats,C1,101618.0,-81148.0,3535.0,24924.0,136450.0,-12775.0,-4526.0,-1363.0,-6613.0,2251.0,18867.0,134.0,1241.0,0.8029999999999999,0.19699999999999998
2022-06-01,Postmates,A1,37403.0,-29870.0,1314.0,7737.0,48571.0,-5158.0,-1272.0,-115.0,-590.0,339.0,7644.0,60.0,483.0,0.8391,0.1609
2022-07-01,Postmates,A1,38312.0,-30649.0,1331.0,7616.0,49351.0,-4626.0,-1469.0,-117.0,-592.0,333.0,7906.0,62.0,481.0,0.8404,0.15960000000000002
2022-08-01,Postmates,A1,38312.0,-30649.0,1326.0,7205.0,48831.0,-4653.0,-2167.0,-80.0,-584.0,322.0,6939.0,58.0,468.0,0.8428,0.1572
2022-09-01,Postmates,A1,37143.0,-29870.0,1280.0,6565.0,47013.0,-4356.0,-2038.0,-54.0,-533.0,302.0,6107.0,50.0,464.0,0.8405,0.1595
2022-10-01,Postmates,A1,37662.0,-30130.0,1272.0,6833.0,47922.0,-4594.0,-2075.0,-186.0,-631.0,320.0,5756.0,48.0,440.0,0.8327,0.1673
2022-11-01,Postmates,A1,33896.0,-27013.0,1149.0,6145.0,43117.0,-4066.0,-1729.0,-143.0,-558.0,291.0,5510.0,34.0,396.0,0.8375,0.1625
2022-12-01,Postmates,A1,34935.0,-27922.0,1153.0,6260.0,44286.0,-3892.0,-1538.0,-125.0,-582.0,289.0,6378.0,32.0,381.0,0.8489,0.15109999999999998
2023-01-01,Postmates,A1,33117.0,-26234.0,1116.0,6099.0,42208.0,-3510.0,-1753.0,-119.0,-572.0,284.0,6332.0,33.0,323.0,0.8423999999999999,0.1576
2023-02-01,Postmates,A1,30779.0,-24545.0,1036.0,5744.0,39351.0,-3516.0,-1524.0,-88.0,-540.0,263.0,5798.0,29.0,307.0,0.8381000000000001,0.16190000000000002
2023-03-01,Postmates,A1,36494.0,-29091.0,1198.0,6688.0,46494.0,-4135.0,-2351.0,-710.0,-671.0,303.0,6212.0,53.0,345.0,0.8404,0.15960000000000002
2023-04-01,Postmates,A1,32987.0,-26234.0,1091.0,6183.0,42078.0,-3810.0,-1485.0,-260.0,-563.0,265.0,6444.0,30.0,311.0,0.8378,0.16219999999999998
2023-05-01,Postmates,A1,33377.0,-26623.0,1111.0,6450.0,42727.0,-4126.0,-1973.0,-194.0,-560.0,282.0,6125.0,36.0,310.0,0.8342,0.16579999999999998
2023-06-01,Postmates,A1,29870.0,-23896.0,993.0,6625.0,39351.0,-3307.0,-1443.0,-295.0,-634.0,290.0,6842.0,40.0,297.0,0.8466,0.1534
2022-06-01,Postmates,A2,10718.0,-8706.0,389.0,2310.0,13896.0,-1195.0,-344.0,-36.0,-235.0,131.0,2419.0,19.0,161.0,0.8458,0.1542
2022-07-01,Postmates,A2,11397.0,-9292.0,419.0,2342.0,14675.0,-1283.0,-418.0,-44.0,-207.0,123.0,1889.0,22.0,166.0,0.8327,0.1673
2022-08-01,Postmates,A2,11307.0,-9221.0,411.0,2235.0,14416.0,-1332.0,-628.0,-20.0,-212.0,116.0,1722.0,20.0,161.0,0.8401000000000001,0.15990000000000001
2022-09-01,Postmates,A2,11504.0,-9411.0,414.0,2160.0,14545.0,-1369.0,-595.0,-18.0,-211.0,108.0,1575.0,19.0,163.0,0.8369,0.1631
2022-10-01,Postmates,A2,12080.0,-9863.0,424.0,2321.0,15325.0,-1485.0,-612.0,-29.0,-253.0,117.0,1663.0,17.0,163.0,0.8192,0.1808
2022-11-01,Postmates,A2,11257.0,-9193.0,393.0,1931.0,14026.0,-1410.0,-839.0,-42.0,-213.0,112.0,1226.0,13.0,146.0,0.8153,0.18469999999999998
2022-12-01,Postmates,A2,11436.0,-9344.0,397.0,1721.0,14026.0,-1238.0,-693.0,-38.0,-167.0,99.0,1268.0,13.0,140.0,0.8286,0.1714
2023-01-01,Postmates,A2,11686.0,-9497.0,407.0,1795.0,14416.0,-1210.0,-919.0,-33.0,-184.0,102.0,1279.0,12.0,120.0,0.8212999999999999,0.1787
2023-02-01,Postmates,A2,11400.0,-9265.0,384.0,1701.0,14026.0,-1236.0,-1040.0,-44.0,-198.0,97.0,935.0,12.0,118.0,0.8220999999999999,0.1779
2023-03-01,Postmates,A2,14675.0,-11906.0,493.0,2234.0,18052.0,-1583.0,-1318.0,-311.0,-246.0,108.0,1261.0,25.0,150.0,0.8278,0.1722
2023-04-01,Postmates,A2,13506.0,-10967.0,460.0,2085.0,16623.0,-1596.0,-980.0,-118.0,-229.0,99.0,1431.0,13.0,133.0,0.818,0.182
2023-05-01,Postmates,A2,13896.0,-11254.0,470.0,2082.0,17013.0,-1694.0,-1441.0,-90.0,-221.0,110.0,1139.0,18.0,132.0,0.823,0.177
2023-06-01,Postmates,A2,12987.0,-10592.0,446.0,1949.0,15974.0,-1773.0,-1074.0,-148.0,-195.0,105.0,1187.0,22.0,134.0,0.8292,0.17079999999999998
2022-06-01,Postmates,B1,8420.0,-6829.0,274.0,1786.0,10775.0,-773.0,-369.0,-77.0,-337.0,112.0,1663.0,23.0,139.0,0.8823000000000001,0.1177
2022-07-01,Postmates,B1,9100.0,-7405.0,292.0,1791.0,11505.0,-815.0,-561.0,-78.0,-289.0,109.0,1516.0,27.0,146.0,0.8833,0.1167
2022-08-01,Postmates,B1,9842.0,-7962.0,309.0,1828.0,12337.0,-869.0,-958.0,-48.0,-297.0,107.0,1219.0,29.0,152.0,0.8876000000000001,0.1124
2022-09-01,Postmates,B1,10450.0,-8484.0,329.0,1894.0,13117.0,-857.0,-913.0,-26.0,-345.0,112.0,1210.0,23.0,159.0,0.8883,0.1117
2022-10-01,Postmates,B1,10887.0,-8798.0,338.0,2005.0,13636.0,-893.0,-903.0,-72.0,-336.0,110.0,1318.0,23.0,151.0,0.8806,0.11939999999999999
2022-11-01,Postmates,B1,10973.0,-8876.0,338.0,1710.0,13377.0,-1008.0,-1249.0,-89.0,-267.0,100.0,920.0,17.0,146.0,0.8791,0.1209
2022-12-01,Postmates,B1,10902.0,-8812.0,330.0,1513.0,13117.0,-1090.0,-976.0,-90.0,-227.0,90.0,949.0,18.0,140.0,0.8745,0.1255
2023-01-01,Postmates,B1,10817.0,-8679.0,321.0,1514.0,13117.0,-995.0,-1497.0,-193.0,-237.0,94.0,631.0,23.0,118.0,0.8806,0.11939999999999999
2023-02-01,Postmates,B1,12535.0,-10026.0,370.0,1784.0,15195.0,-1181.0,-2157.0,-263.0,-320.0,102.0,327.0,31.0,140.0,0.8815999999999999,0.1184
2023-03-01,Postmates,B1,15455.0,-12466.0,450.0,2148.0,18701.0,-1548.0,-2590.0,-825.0,-388.0,113.0,381.0,50.0,171.0,0.8789,0.1211
2023-04-01,Postmates,B1,15195.0,-12164.0,441.0,2146.0,18312.0,-1741.0,-2388.0,-519.0,-405.0,114.0,225.0,40.0,167.0,0.8835,0.1165
2023-05-01,Postmates,B1,15195.0,-12136.0,434.0,1988.0,18052.0,-1908.0,-2918.0,-379.0,-351.0,132.0,-293.0,30.0,152.0,0.8835999999999999,0.1164
2023-06-01,Postmates,B1,14026.0,-11249.0,415.0,1797.0,16753.0,-2043.0,-2487.0,-725.0,-260.0,123.0,-426.0,51.0,171.0,0.8895000000000001,0.1105
2022-06-01,Postmates,C1,26364.0,-21299.0,891.0,6331.0,35325.0,-3245.0,-1044.0,-40.0,-1144.0,609.0,5926.0,25.0,329.0,0.8526,0.1474
2022-07-01,Postmates,C1,27143.0,-22078.0,912.0,6062.0,35844.0,-3429.0,-1225.0,-40.0,-963.0,579.0,5505.0,26.0,332.0,0.8527,0.14730000000000001
2022-08-01,Postmates,C1,27403.0,-22208.0,903.0,5874.0,35844.0,-3271.0,-2561.0,-19.0,-740.0,529.0,4465.0,25.0,319.0,0.8512000000000001,0.14880000000000002
2022-09-01,Postmates,C1,27403.0,-22338.0,908.0,4472.0,34286.0,-3164.0,-1999.0,-14.0,-567.0,447.0,3442.0,23.0,330.0,0.8473999999999999,0.15259999999999999
2022-10-01,Postmates,C1,28701.0,-23247.0,957.0,4435.0,35714.0,-3304.0,-1670.0,-72.0,-539.0,434.0,3423.0,23.0,314.0,0.8326,0.1674
2022-11-01,UberEats,C1,94222.0,-75534.0,3317.0,22915.0,126298.0,-12932.0,-3274.0,-1415.0,-6063.0,2176.0,16954.0,123.0,1193.0,0.7947,0.2053
2022-12-01,UberEats,C1,104539.0,-83649.0,3620.0,25720.0,140427.0,-15664.0,-4309.0,-1460.0,-7097.0,2313.0,17350.0,129.0,1278.0,0.8006,0.19940000000000002
2023-01-01,UberEats,C1,107950.0,-86268.0,3806.0,26603.0,145037.0,-15821.0,-5591.0,-1505.0,-7787.0,2370.0,17162.0,142.0,1295.0,0.8098000000000001,0.1902
2023-02-01,UberEats,C1,101950.0,-81533.0,3582.0,25506.0,137049.0,-13045.0,-5683.0,-769.0,-7734.0,2266.0,18514.0,116.0,1226.0,0.7986,0.2014
2023-03-01,UberEats,C1,126097.0,-101665.0,4436.0,26515.0,164444.0,-18151.0,-7799.0,-554.0,-7070.0,2355.0,15837.0,156.0,1441.0,0.7968000000000001,0.2032
2023-04-01,UberEats,C1,123401.0,-99382.0,4347.0,26284.0,161259.0,-19636.0,-7653.0,-1400.0,-6781.0,2343.0,14617.0,148.0,1438.0,0.7883,0.21170000000000003
2023-05-01,UberEats,C1,123557.0,-99813.0,4382.0,26998.0,162052.0,-19982.0,-6518.0,-1522.0,-6876.0,2743.0,16373.0,164.0,1478.0,0.7870999999999999,0.21289999999999998
2023-06-01,UberEats,C1,121290.0,-98201.0,4327.0,26370.0,159118.0,-16555.0,-4423.0,-1537.0,-6624.0,2860.0,20357.0,175.0,1477.0,0.7889,0.21109999999999998
2022-06-01,UberEats,C2,755121.0,-601029.0,28639.0,157544.0,990746.0,-99704.0,-16305.0,-4766.0,-19168.0,8238.0,159683.0,563.0,8367.0,0.7478,0.2522
2022-07-01,UberEats,C2,793928.0,-639848.0,29861.0,175295.0,1051452.0,-97484.0,-24744.0,-4570.0,-31695.0,9702.0,154721.0,599.0,8545.0,0.7601,0.23989999999999997
2022-08-01,UberEats,C2,784581.0,-630780.0,29750.0,173942.0,1039870.0,-98820.0,-29871.0,-3962.0,-33222.0,9814.0,151607.0,579.0,8448.0,0.7609,0.2391
2022-09-01,UberEats,C2,780465.0,-628212.0,29038.0,172847.0,1033556.0,-94437.0,-33948.0,-3738.0,-35651.0,9117.0,134883.0,526.0,8298.0,0.7585999999999999,0.2414
2022-10-01,UberEats,C2,885620.0,-711366.0,32027.0,189993.0,1166533.0,-91476.0,-38020.0,-5112.0,-40585.0,10080.0,141044.0,669.0,8829.0,0.7655,0.2345
2022-11-01,UberEats,C2,817744.0,-657329.0,30037.0,180480.0,1082417.0,-92967.0,-28315.0,-4795.0,-39352.0,10206.0,157759.0,529.0,8426.0,0.7661,0.2339
2022-12-01,UberEats,C2,878357.0,-732067.0,31235.0,201521.0,1169409.0,-110420.0,-33443.0,-5517.0,-47925.0,10803.0,129536.0,562.0,8828.0,0.7715000000000001,0.2285
2023-01-01,UberEats,C2,890435.0,-714981.0,32441.0,201754.0,1182953.0,-85354.0,-33609.0,-5885.0,-50297.0,11342.0,183797.0,566.0,8739.0,0.7755,0.2245
2023-02-01,UberEats,C2,863115.0,-695308.0,31086.0,193411.0,1144028.0,-73536.0,-38422.0,-3898.0,-51710.0,11145.0,164830.0,490.0,8520.0,0.7712,0.2288
2023-03-01,UberEats,C2,1038501.0,-842765.0,37542.0,204925.0,1348327.0,-94671.0,-48592.0,-4275.0,-50579.0,11921.0,164936.0,619.0,9514.0,0.7659999999999999,0.23399999999999999
2023-04-01,UberEats,C2,977363.0,-793011.0,35469.0,191351.0,1266942.0,-90034.0,-44117.0,-5164.0,-46051.0,11987.0,162959.0,573.0,9254.0,0.7603,0.2397
2023-05-01,UberEats,C2,974022.0,-791569.0,35567.0,191099.0,1262573.0,-95070.0,-47844.0,-5093.0,-44694.0,14127.0,161446.0,594.0,9372.0,0.76,0.24
2023-06-01,UberEats,C2,949501.0,-772759.0,34500.0,185133.0,1230222.0,-89858.0,-34727.0,-5583.0,-42579.0,14714.0,167768.0,643.0,9349.0,0.7622,0.2378
2022-06-01,UberEats,C3,270752.0,-213282.0,9226.0,57142.0,350544.0,-31442.0,-6128.0,-1548.0,-9382.0,3618.0,66365.0,180.0,2784.0,0.7998999999999999,0.20010000000000003
2022-07-01,UberEats,C3,282188.0,-224375.0,9442.0,61006.0,366763.0,-27908.0,-7190.0,-1758.0,-10869.0,3812.0,69620.0,199.0,2841.0,0.7943000000000001,0.2057
2022-08-01,UberEats,C3,280320.0,-222881.0,9468.0,60905.0,364716.0,-25710.0,-9193.0,-1521.0,-11201.0,3832.0,68557.0,192.0,2847.0,0.7974,0.2026
2022-09-01,UberEats,C3,284802.0,-226268.0,9395.0,61403.0,369940.0,-28867.0,-9884.0,-1513.0,-11604.0,3640.0,64819.0,189.0,2857.0,0.8007,0.1993
2022-10-01,UberEats,C3,312872.0,-248585.0,10249.0,62062.0,400726.0,-33675.0,-11382.0,-1644.0,-11384.0,3820.0,60894.0,194.0,3004.0,0.8031999999999999,0.1968
2022-11-01,UberEats,C3,290706.0,-231026.0,9588.0,62153.0,377262.0,-29097.0,-7785.0,-1874.0,-12335.0,3863.0,70954.0,178.0,2890.0,0.7992,0.20079999999999998
2022-12-01,UberEats,C3,319776.0,-254363.0,10316.0,69191.0,415773.0,-32297.0,-9710.0,-4616.0,-14604.0,4118.0,75193.0,214.0,3096.0,0.8020999999999999,0.1979
2023-01-01,UberEats,C3,312861.0,-248756.0,10307.0,67941.0,407040.0,-28650.0,-9902.0,-1833.0,-14960.0,4154.0,77685.0,194.0,3003.0,0.8023,0.1977
2023-02-01,UberEats,C3,304829.0,-242786.0,10062.0,65906.0,395666.0,-28660.0,-11793.0,-1076.0,-15529.0,4043.0,70946.0,177.0,2967.0,0.7920999999999999,0.2079
2023-03-01,UberEats,C3,342513.0,-274102.0,11273.0,74397.0,445427.0,-32402.0,-13006.0,-787.0,-17595.0,4358.0,79403.0,201.0,3151.0,0.7870999999999999,0.21289999999999998
2023-04-01,UberEats,C3,333928.0,-267443.0,10979.0,71837.0,433398.0,-31451.0,-11801.0,-1549.0,-16794.0,4424.0,78586.0,188.0,3142.0,0.7837999999999999,0.2162
2023-05-01,UberEats,C3,328524.0,-263720.0,10787.0,70072.0,426177.0,-29639.0,-10769.0,-1526.0,-15931.0,5122.0,80528.0,193.0,3146.0,0.7889,0.21109999999999998
2023-06-01,UberEats,C3,316769.0,-254687.0,10258.0,66375.0,410075.0,-28237.0,-5251.0,-1531.0,-14748.0,5328.0,81614.0,203.0,3047.0,0.8004000000000001,0.1996
2022-06-01,UberEats,D1,659744.0,-525156.0,25621.0,160412.0,872896.0,-87475.0,-15161.0,-4532.0,-26543.0,9749.0,162135.0,547.0,7116.0,0.7531,0.2469
2022-07-01,UberEats,D1,703238.0,-566255.0,27027.0,169530.0,929215.0,-84987.0,-22407.0,-4529.0,-31305.0,10391.0,161253.0,575.0,7275.0,0.7645000000000001,0.23550000000000001
2022-08-01,UberEats,D1,695422.0,-558214.0,26794.0,169038.0,920581.0,-84770.0,-29827.0,-3938.0,-32748.0,10514.0,155184.0,543.0,7250.0,0.7655,0.2345
2022-09-01,UberEats,D1,677644.0,-544301.0,25715.0,164228.0,896404.0,-75573.0,-27028.0,-3631.0,-32877.0,10017.0,153519.0,484.0,7047.0,0.7568,0.2432
2022-10-01,UberEats,D1,719700.0,-578046.0,26933.0,172028.0,948961.0,-82328.0,-27978.0,-4266.0,-36713.0,10847.0,160757.0,516.0,7312.0,0.7526999999999999,0.2473
2022-11-01,UberEats,D1,674839.0,-543107.0,25302.0,165350.0,894288.0,-78562.0,-24784.0,-4410.0,-36219.0,10882.0,151650.0,465.0,7031.0,0.7431,0.2569
2022-12-01,UberEats,D1,727838.0,-587021.0,26653.0,180135.0,966003.0,-79264.0,-26751.0,-5220.0,-41704.0,11585.0,164480.0,488.0,7299.0,0.7501000000000001,0.24989999999999998
2023-01-01,UberEats,D1,723043.0,-580826.0,26738.0,178090.0,958859.0,-74187.0,-30308.0,-5995.0,-44261.0,11571.0,167221.0,526.0,7257.0,0.7579,0.2421
2023-02-01,UberEats,D1,692658.0,-555882.0,25070.0,171058.0,919018.0,-71696.0,-36641.0,-4281.0,-45665.0,11130.0,150130.0,467.0,7036.0,0.7559,0.2441
2023-03-01,UberEats,D1,825035.0,-668069.0,30111.0,185996.0,1076302.0,-84644.0,-42836.0,-5357.0,-46769.0,12137.0,162143.0,578.0,7764.0,0.7504000000000001,0.24960000000000002
2022-11-01,Postmates,C1,27403.0,-22338.0,910.0,4311.0,34286.0,-3295.0,-2297.0,-60.0,-524.0,411.0,2436.0,17.0,297.0,0.828,0.172
2022-12-01,Postmates,C1,30000.0,-24286.0,975.0,4343.0,37013.0,-3355.0,-1982.0,-44.0,-543.0,396.0,3216.0,16.0,301.0,0.8423999999999999,0.1576
2023-01-01,Postmates,C1,29221.0,-23506.0,965.0,4269.0,36104.0,-3083.0,-2191.0,-46.0,-553.0,389.0,3242.0,18.0,265.0,0.8397,0.1603
2023-02-01,Postmates,C1,27273.0,-22078.0,890.0,4146.0,33896.0,-2901.0,-2482.0,-52.0,-552.0,356.0,2895.0,19.0,255.0,0.8398,0.1602
2023-03-01,Postmates,C1,31169.0,-25195.0,1010.0,4755.0,38831.0,-3481.0,-2201.0,-238.0,-652.0,397.0,3679.0,23.0,271.0,0.8393,0.1607
2023-04-01,Postmates,C1,29481.0,-23896.0,960.0,4490.0,36753.0,-3392.0,-2100.0,-137.0,-586.0,357.0,3521.0,23.0,267.0,0.8308,0.16920000000000002
2023-05-01,Postmates,C1,30000.0,-24156.0,970.0,4524.0,37143.0,-3392.0,-2588.0,-94.0,-574.0,372.0,3263.0,24.0,258.0,0.8309000000000001,0.1691
2023-06-01,Postmates,C1,27662.0,-22338.0,910.0,4198.0,34286.0,-3219.0,-1485.0,-190.0,-530.0,362.0,3590.0,22.0,249.0,0.8379000000000001,0.16210000000000002
2022-06-01,Postmates,C2,25714.0,-21039.0,883.0,5109.0,33636.0,-2380.0,-947.0,-109.0,-499.0,253.0,5354.0,48.0,393.0,0.8348,0.16519999999999999
2022-07-01,Postmates,C2,26753.0,-21948.0,909.0,5135.0,34805.0,-2397.0,-1238.0,-85.0,-530.0,246.0,4998.0,53.0,403.0,0.8338,0.16620000000000001
2022-08-01,Postmates,C2,27013.0,-22208.0,905.0,4899.0,34805.0,-2436.0,-1914.0,-62.0,-511.0,235.0,4285.0,53.0,394.0,0.8484999999999999,0.1515
2022-09-01,Postmates,C2,26753.0,-21948.0,889.0,4528.0,34156.0,-2205.0,-1806.0,-45.0,-509.0,223.0,3790.0,44.0,400.0,0.8533,0.1467
2022-10-01,Postmates,C2,28571.0,-23506.0,927.0,4909.0,36623.0,-1991.0,-1852.0,-143.0,-563.0,236.0,3877.0,45.0,381.0,0.8493999999999999,0.1506
