,,,,,,,,,,,,,,,,,,
,Month,App,City ID,Basket,Payment to Merchants,Trips,Total Eater Fees,Gross Bookings,Payments to Couriers,Incentive to Existing Eaters,Incentive to New Eaters,Discount due to other promotions/subscriptions,Revenue gained due to subscription,Net Revenue,New Eaters,Active Eaters,%SMB,%ENT
,2023-04-01 0:00:00,UberEats,A1,"$749,681","-$590,873","25,197","$151,809","$967,549","-$92,570","-$48,318","-$4,761","-$36,181","$10,945","$128,543",499,"6,949",83.47%,16.53%
,2023-05-01 0:00:00,UberEats,A1,"$758,758","-$599,069","25,682","$157,347","$982,367","-$98,421","-$40,672","-$5,123","-$36,479","$12,585","$141,084",552,"7,112",83.44%,16.56%
,2023-06-01 0:00:00,UberEats,A1,"$732,942","-$579,434","24,996","$151,654","$949,083","-$85,272","-$30,752","-$5,490","-$34,574","$13,031","$150,956",589,"7,002",83.77%,16.23%
,2022-06-01 0:00:00,UberEats,A2,"$244,111","-$195,057","9,033","$58,394","$321,942","-$39,883","-$5,426","-$1,367","-$8,998","$3,689","$52,730",170,"2,598",81.50%,18.50%
,2022-07-01 0:00:00,UberEats,A2,"$262,713","-$210,994","9,600","$61,893","$345,593","-$37,591","-$8,209","-$1,264","-$12,263","$3,992","$42,653",176,"2,660",83.25%,16.75%
,2022-08-01 0:00:00,UberEats,A2,"$257,576","-$206,676","9,414","$61,992","$340,251","-$35,916","-$10,557","-$1,201","-$13,340","$4,024","$46,423",169,"2,636",83.04%,16.96%
,2022-09-01 0:00:00,UberEats,A2,"$252,042","-$203,149","9,082","$61,804","$334,079","-$33,434","-$7,516","-$1,242","-$14,116","$3,818","$48,080",159,"2,633",82.06%,17.94%
,2022-10-01 0:00:00,UberEats,A2,"$265,897","-$213,296","9,359","$65,665","$352,687","-$35,007","-$7,598","-$1,385","-$16,852","$4,160","$52,118",164,"2,731",81.42%,18.58%
,2022-11-01 0:00:00,UberEats,A2,"$245,440","-$197,556","8,741","$60,112","$325,190","-$32,924","-$4,757","-$1,333","-$14,961","$4,310","$53,464",146,"2,596",80.69%,19.31%
,2022-12-01 0:00:00,UberEats,A2,"$261,111","-$210,032","9,097","$63,795","$345,730","-$31,337","-$6,235","-$1,439","-$16,103","$4,470","$56,772",143,"2,605",81.25%,18.75%
,2023-01-01 0:00:00,UberEats,A2,"$274,579","-$220,705","9,679","$67,324","$363,813","-$29,480","-$8,195","-$1,354","-$18,299","$4,594","$62,499",152,"2,658",81.47%,18.53%
,2023-02-01 0:00:00,UberEats,A2,"$258,209","-$206,928","8,956","$62,162","$340,963","-$29,636","-$8,475",-$916,"-$18,077","$4,339","$53,706",138,"2,600",81.56%,18.44%
,2023-03-01 0:00:00,UberEats,A2,"$303,699","-$244,901","10,521","$74,246","$402,010","-$34,458","-$10,437",-$817,"-$21,015","$4,777","$60,832",171,"2,871",81.45%,18.55%
,2023-04-01 0:00:00,UberEats,A2,"$296,077","-$238,766","10,251","$71,981","$391,557","-$35,111","-$8,458","-$1,372","-$20,401","$4,834","$61,484",167,"2,856",81.29%,18.71%
,2023-05-01 0:00:00,UberEats,A2,"$293,871","-$237,381","10,150","$70,041","$387,008","-$35,107","-$10,258","-$1,236","-$18,990","$5,494","$63,844",164,"2,793",81.93%,18.07%
,2023-06-01 0:00:00,UberEats,A2,"$284,331","-$229,953","9,884","$67,439","$374,052","-$35,804","-$6,237","-$1,307","-$18,146","$5,673","$62,649",174,"2,724",82.19%,17.81%
,2022-06-01 0:00:00,UberEats,B1,"$500,918","-$397,273","18,171","$114,673","$649,215","-$67,298","-$11,260","-$3,006","-$21,823","$6,743","$101,386",335,"4,997",80.21%,19.79%
,2022-07-01 0:00:00,UberEats,B1,"$513,794","-$411,005","18,432","$113,135","$661,454","-$61,842","-$13,601","-$2,928","-$24,532","$7,243","$97,253",362,"5,035",80.01%,19.99%
,2022-08-01 0:00:00,UberEats,B1,"$518,868","-$414,023","18,655","$114,070","$667,975","-$67,102","-$19,050","-$2,324","-$25,064","$7,119","$86,399",331,"5,119",80.34%,19.66%
,2022-09-01 0:00:00,UberEats,B1,"$521,420","-$415,968","18,238","$118,349","$674,914","-$65,484","-$21,308","-$2,455","-$28,592","$6,566","$78,897",328,"5,121",80.99%,19.01%
,2022-10-01 0:00:00,UberEats,B1,"$580,791","-$462,090","19,974","$127,972","$748,024","-$71,399","-$25,025","-$2,681","-$31,751","$7,303","$84,549",336,"5,421",81.86%,18.14%
,2022-11-01 0:00:00,UberEats,B1,"$549,047","-$437,812","19,085","$119,672","$705,788","-$70,448","-$17,939","-$2,843","-$28,433","$7,433","$98,285",310,"5,271",80.93%,19.07%
,2022-12-01 0:00:00,UberEats,B1,"$572,197","-$456,109","19,343","$131,599","$742,190","-$69,918","-$19,307","-$3,377","-$34,915","$7,975","$111,104",319,"5,401",80.57%,19.43%
,2023-01-01 0:00:00,UberEats,B1,"$572,609","-$455,323","19,654","$127,712","$738,894","-$61,741","-$20,107","-$2,532","-$34,093","$8,024","$121,751",316,"5,331",81.29%,18.71%
,2023-02-01 0:00:00,UberEats,B1,"$565,270","-$450,406","19,463","$128,560","$731,749","-$64,963","-$23,407","-$1,666","-$36,641","$7,766","$113,661",294,"5,300",80.47%,19.53%
,2023-03-01 0:00:00,UberEats,B1,"$639,165","-$511,038","21,845","$145,205","$827,084","-$77,298","-$26,038","-$1,290","-$42,550","$8,435","$123,156",344,"5,648",80.48%,19.52%
,2023-04-01 0:00:00,UberEats,B1,"$617,548","-$497,229","20,932","$136,947","$795,538","-$77,297","-$23,357","-$2,334","-$40,713","$8,433","$110,057",305,"5,524",79.95%,20.05%
,2023-05-01 0:00:00,UberEats,B1,"$579,818","-$465,541","19,868","$116,427","$734,920","-$77,474","-$20,482","-$2,282","-$29,107","$8,937","$105,616",322,"5,520",80.02%,19.98%
,2023-06-01 0:00:00,UberEats,B1,"$556,253","-$446,910","19,068","$110,888","$704,014","-$78,526","-$8,090","-$2,318","-$26,083","$9,396","$104,529",353,"5,365",80.19%,19.81%
,2022-06-01 0:00:00,UberEats,C1,"$85,924","-$68,469","3,126","$22,144","$116,471","-$13,549","-$2,740","-$1,345","-$4,707","$1,926","$18,318",137,"1,172",80.01%,19.99%
,2022-07-01 0:00:00,UberEats,C1,"$97,946","-$78,971","3,529","$22,652","$130,028","-$14,486","-$4,060","-$1,369","-$5,087","$2,078","$17,419",152,"1,272",81.12%,18.88%
,2022-08-01 0:00:00,UberEats,C1,"$95,620","-$76,597","3,483","$22,241","$127,102","-$13,539","-$4,264","-$1,233","-$5,101","$2,089","$18,555",141,"1,236",81.29%,18.71%
,2022-09-01 0:00:00,UberEats,C1,"$94,478","-$75,536","3,350","$22,361","$125,978","-$12,904","-$4,387","-$1,220","-$5,468","$2,024","$17,574",131,"1,207",80.38%,19.62%
,2022-10-01 0:00:00,UberEats,C1,"$101,618","-$81,148","3,535","$24,924","$136,450","-$12,775","-$4,526","-$1,363","-$6,613","$2,251","$18,867",134,"1,241",80.30%,19.70%
,2022-06-01 0:00:00,Postmates,A1,"$37,403","-$29,870","1,314","$7,737","$48,571","-$5,158","-$1,272",-$115,-$590,$339,"$7,644",60,483,83.91%,16.09%
,2022-07-01 0:00:00,Postmates,A1,"$38,312","-$30,649","1,331","$7,616","$49,351","-$4,626","-$1,469",-$117,-$592,$333,"$7,906",62,481,84.04%,15.96%
,2022-08-01 0:00:00,Postmates,A1,"$38,312","-$30,649","1,326","$7,205","$48,831","-$4,653","-$2,167",-$80,-$584,$322,"$6,939",58,468,84.28%,15.72%
,2022-09-01 0:00:00,Postmates,A1,"$37,143","-$29,870","1,280","$6,565","$47,013","-$4,356","-$2,038",-$54,-$533,$302,"$6,107",50,464,84.05%,15.95%
,2022-10-01 0:00:00,Postmates,A1,"$37,662","-$30,130","1,272","$6,833","$47,922","-$4,594","-$2,075",-$186,-$631,$320,"$5,756",48,440,83.27%,16.73%
,2022-11-01 0:00:00,Postmates,A1,"$33,896","-$27,013","1,149","$6,145","$43,117","-$4,066","-$1,729",-$143,-$558,$291,"$5,510",34,396,83.75%,16.25%
,2022-12-01 0:00:00,Postmates,A1,"$34,935","-$27,922","1,153","$6,260","$44,286","-$3,892","-$1,538",-$125,-$582,$289,"$6,378",32,381,84.89%,15.11%
,2023-01-01 0:00:00,Postmates,A1,"$33,117","-$26,234","1,116","$6,099","$42,208","-$3,510","-$1,753",-$119,-$572,$284,"$6,332",33,323,84.24%,15.76%
,2023-02-01 0:00:00,Postmates,A1,"$30,779","-$24,545","1,036","$5,744","$39,351","-$3,516","-$1,524",-$88,-$540,$263,"$5,798",29,307,83.81%,16.19%
,2023-03-01 0:00:00,Postmates,A1,"$36,494","-$29,091","1,198","$6,688","$46,494","-$4,135","-$2,351",-$710,-$671,$303,"$6,212",53,345,84.04%,15.96%
,2023-04-01 0:00:00,Postmates,A1,"$32,987","-$26,234","1,091","$6,183","$42,078","-$3,810","-$1,485",-$260,-$563,$265,"$6,444",30,311,83.78%,16.22%
,2023-05-01 0:00:00,Postmates,A1,"$33,377","-$26,623","1,111","$6,450","$42,727","-$4,126","-$1,973",-$194,-$560,$282,"$6,125",36,310,83.42%,16.58%
,2023-06-01 0:00:00,Postmates,A1,"$29,870","-$23,896",993,"$6,625","$39,351","-$3,307","-$1,443",-$295,-$634,$290,"$6,842",40,297,84.66%,15.34%
,2022-06-01 0:00:00,Postmates,A2,"$10,718","-$8,706",389,"$2,310","$13,896","-$1,195",-$344,-$36,-$235,$131,"$2,419",19,161,84.58%,15.42%
,2022-07-01 0:00:00,Postmates,A2,"$11,397","-$9,292",419,"$2,342","$14,675","-$1,283",-$418,-$44,-$207,$123,"$1,889",22,166,83.27%,16.73%
,2022-08-01 0:00:00,Postmates,A2,"$11,307","-$9,221",411,"$2,235","$14,416","-$1,332",-$628,-$20,-$212,$116,"$1,722",20,161,84.01%,15.99%
,2022-09-01 0:00:00,Postmates,A2,"$11,504","-$9,411",414,"$2,160","$14,545","-$1,369",-$595,-$18,-$211,$108,"$1,575",19,163,83.69%,16.31%
,2022-10-01 0:00:00,Postmates,A2,"$12,080","-$9,863",424,"$2,321","$15,325","-$1,485",-$612,-$29,-$253,$117,"$1,663",17,163,81.92%,18.08%
,2022-11-01 0:00:00,Postmates,A2,"$11,257","-$9,193",393,"$1,931","$14,026","-$1,410",-$839,-$42,-$213,$112,"$1,226",13,146,81.53%,18.47%
,2022-12-01 0:00:00,Postmates,A2,"$11,436","-$9,344",397,"$1,721","$14,026","-$1,238",-$693,-$38,-$167,$99,"$1,268",13,140,82.86%,17.14%
,2023-01-01 0:00:00,Postmates,A2,"$11,686","-$9,497",407,"$1,795","$14,416","-$1,210",-$919,-$33,-$184,$102,"$1,279",12,120,82.13%,17.87%
,2023-02-01 0:00:00,Postmates,A2,"$11,400","-$9,265",384,"$1,701","$14,026","-$1,236","-$1,040",-$44,-$198,$97,$935,12,118,82.21%,17.79%
,2023-03-01 0:00:00,Postmates,A2,"$14,675","-$11,906",493,"$2,234","$18,052","-$1,583","-$1,318",-$311,-$246,$108,"$1,261",25,150,82.78%,17.22%
,2023-04-01 0:00:00,Postmates,A2,"$13,506","-$10,967",460,"$2,085","$16,623","-$1,596",-$980,-$118,-$229,$99,"$1,431",13,133,81.80%,18.20%
,2023-05-01 0:00:00,Postmates,A2,"$13,896","-$11,254",470,"$2,082","$17,013","-$1,694","-$1,441",-$90,-$221,$110,"$1,139",18,132,82.30%,17.70%
,2023-06-01 0:00:00,Postmates,A2,"$12,987","-$10,592",446,"$1,949","$15,974","-$1,773","-$1,074",-$148,-$195,$105,"$1,187",22,134,82.92%,17.08%
,2022-06-01 0:00:00,Postmates,B1,"$8,420","-$6,829",274,"$1,786","$10,775",-$773,-$369,-$77,-$337,$112,"$1,663",23,139,88.23%,11.77%
,2022-07-01 0:00:00,Postmates,B1,"$9,100","-$7,405",292,"$1,791","$11,505",-$815,-$561,-$78,-$289,$109,"$1,516",27,146,88.33%,11.67%
,2022-08-01 0:00:00,Postmates,B1,"$9,842","-$7,962",309,"$1,828","$12,337",-$869,-$958,-$48,-$297,$107,"$1,219",29,152,88.76%,11.24%
,2022-09-01 0:00:00,Postmates,B1,"$10,450","-$8,484",329,"$1,894","$13,117",-$857,-$913,-$26,-$345,$112,"$1,210",23,159,88.83%,11.17%
,2022-10-01 0:00:00,Postmates,B1,"$10,887","-$8,798",338,"$2,005","$13,636",-$893,-$903,-$72,-$336,$110,"$1,318",23,151,88.06%,11.94%
,2022-11-01 0:00:00,Postmates,B1,"$10,973","-$8,876",338,"$1,710","$13,377","-$1,008","-$1,249",-$89,-$267,$100,$920,17,146,87.91%,12.09%
,2022-12-01 0:00:00,Postmates,B1,"$10,902","-$8,812",330,"$1,513","$13,117","-$1,090",-$976,-$90,-$227,$90,$949,18,140,87.45%,12.55%
,2023-01-01 0:00:00,Postmates,B1,"$10,817","-$8,679",321,"$1,514","$13,117",-$995,"-$1,497",-$193,-$237,$94,$631,23,118,88.06%,11.94%
,2023-02-01 0:00:00,Postmates,B1,"$12,535","-$10,026",370,"$1,784","$15,195","-$1,181","-$2,157",-$263,-$320,$102,$327,31,140,88.16%,11.84%
,2023-03-01 0:00:00,Postmates,B1,"$15,455","-$12,466",450,"$2,148","$18,701","-$1,548","-$2,590",-$825,-$388,$113,$381,50,171,87.89%,12.11%
,2023-04-01 0:00:00,Postmates,B1,"$15,195","-$12,164",441,"$2,146","$18,312","-$1,741","-$2,388",-$519,-$405,$114,$225,40,167,88.35%,11.65%
,2023-05-01 0:00:00,Postmates,B1,"$15,195","-$12,136",434,"$1,988","$18,052","-$1,908","-$2,918",-$379,-$351,$132,-$293,30,152,88.36%,11.64%
,2023-06-01 0:00:00,Postmates,B1,"$14,026","-$11,249",415,"$1,797","$16,753","-$2,043","-$2,487",-$725,-$260,$123,-$426,51,171,88.95%,11.05%
,2022-06-01 0:00:00,Postmates,C1,"$26,364","-$21,299",891,"$6,331","$35,325","-$3,245","-$1,044",-$40,"-$1,144",$609,"$5,926",25,329,85.26%,14.74%
,2022-07-01 0:00:00,Postmates,C1,"$27,143","-$22,078",912,"$6,062","$35,844","-$3,429","-$1,225",-$40,-$963,$579,"$5,505",26,332,85.27%,14.73%
,2022-08-01 0:00:00,Postmates,C1,"$27,403","-$22,208",903,"$5,874","$35,844","-$3,271","-$2,561",-$19,-$740,$529,"$4,465",25,319,85.12%,14.88%
,2022-09-01 0:00:00,Postmates,C1,"$27,403","-$22,338",908,"$4,472","$34,286","-$3,164","-$1,999",-$14,-$567,$447,"$3,442",23,330,84.74%,15.26%
,2022-10-01 0:00:00,Postmates,C1,"$28,701","-$23,247",957,"$4,435","$35,714","-$3,304","-$1,670",-$72,-$539,$434,"$3,423",23,314,83.26%,16.74%
,2022-11-01 0:00:00,UberEats,C1,"$94,222","-$75,534","3,317","$22,915","$126,298","-$12,932","-$3,274","-$1,415","-$6,063","$2,176","$16,954",123,"1,193",79.47%,20.53%
,2022-12-01 0:00:00,UberEats,C1,"$104,539","-$83,649","3,620","$25,720","$140,427","-$15,664","-$4,309","-$1,460","-$7,097","$2,313","$17,350",129,"1,278",80.06%,19.94%
,2023-01-01 0:00:00,UberEats,C1,"$107,950","-$86,268","3,806","$26,603","$145,037","-$15,821","-$5,591","-$1,505","-$7,787","$2,370","$17,162",142,"1,295",80.98%,19.02%
,2023-02-01 0:00:00,UberEats,C1,"$101,950","-$81,533","3,582","$25,506","$137,049","-$13,045","-$5,683",-$769,"-$7,734","$2,266","$18,514",116,"1,226",79.86%,20.14%
,2023-03-01 0:00:00,UberEats,C1,"$126,097","-$101,665","4,436","$26,515","$164,444","-$18,151","-$7,799",-$554,"-$7,070","$2,355","$15,837",156,"1,441",79.68%,20.32%
,2023-04-01 0:00:00,UberEats,C1,"$123,401","-$99,382","4,347","$26,284","$161,259","-$19,636","-$7,653","-$1,400","-$6,781","$2,343","$14,617",148,"1,438",78.83%,21.17%
,2023-05-01 0:00:00,UberEats,C1,"$123,557","-$99,813","4,382","$26,998","$162,052","-$19,982","-$6,518","-$1,522","-$6,876","$2,743","$16,373",164,"1,478",78.71%,21.29%
,2023-06-01 0:00:00,UberEats,C1,"$121,290","-$98,201","4,327","$26,370","$159,118","-$16,555","-$4,423","-$1,537","-$6,624","$2,860","$20,357",175,"1,477",78.89%,21.11%
,2022-06-01 0:00:00,UberEats,C2,"$755,121","-$601,029","28,639","$157,544","$990,746","-$99,704","-$16,305","-$4,766","-$19,168","$8,238","$159,683",563,"8,367",74.78%,25.22%
,2022-07-01 0:00:00,UberEats,C2,"$793,928","-$639,848","29,861","$175,295","$1,051,452","-$97,484","-$24,744","-$4,570","-$31,695","$9,702","$154,721",599,"8,545",76.01%,23.99%
,2022-08-01 0:00:00,UberEats,C2,"$784,581","-$630,780","29,750","$173,942","$1,039,870","-$98,820","-$29,871","-$3,962","-$33,222","$9,814","$151,607",579,"8,448",76.09%,23.91%
,2022-09-01 0:00:00,UberEats,C2,"$780,465","-$628,212","29,038","$172,847","$1,033,556","-$94,437","-$33,948","-$3,738","-$35,651","$9,117","$134,883",526,"8,298",75.86%,24.14%
,2022-10-01 0:00:00,UberEats,C2,"$885,620","-$711,366","32,027","$189,993","$1,166,533","-$91,476","-$38,020","-$5,112","-$40,585","$10,080","$141,044",669,"8,829",76.55%,23.45%
,2022-11-01 0:00:00,UberEats,C2,"$817,744","-$657,329","30,037","$180,480","$1,082,417","-$92,967","-$28,315","-$4,795","-$39,352","$10,206","$157,759",529,"8,426",76.61%,23.39%
,2022-12-01 0:00:00,UberEats,C2,"$878,357","-$732,067","31,235","$201,521","$1,169,409","-$110,420","-$33,443","-$5,517","-$47,925","$10,803","$129,536",562,"8,828",77.15%,22.85%
,2023-01-01 0:00:00,UberEats,C2,"$890,435","-$714,981","32,441","$201,754","$1,182,953","-$85,354","-$33,609","-$5,885","-$50,297","$11,342","$183,797",566,"8,739",77.55%,22.45%
,2023-02-01 0:00:00,UberEats,C2,"$863,115","-$695,308","31,086","$193,411","$1,144,028","-$73,536","-$38,422","-$3,898","-$51,710","$11,145","$164,830",490,"8,520",77.12%,22.88%
,2023-03-01 0:00:00,UberEats,C2,"$1,038,501","-$842,765","37,542","$204,925","$1,348,327","-$94,671","-$48,592","-$4,275","-$50,579","$11,921","$164,936",619,"9,514",76.60%,23.40%
,2023-04-01 0:00:00,UberEats,C2,"$977,363","-$793,011","35,469","$191,351","$1,266,942","-$90,034","-$44,117","-$5,164","-$46,051","$11,987","$162,959",573,"9,254",76.03%,23.97%
,2023-05-01 0:00:00,UberEats,C2,"$974,022","-$791,569","35,567","$191,099","$1,262,573","-$95,070","-$47,844","-$5,093","-$44,694","$14,127","$161,446",594,"9,372",76.00%,24.00%
,2023-06-01 0:00:00,UberEats,C2,"$949,501","-$772,759","34,500","$185,133","$1,230,222","-$89,858","-$34,727","-$5,583","-$42,579","$14,714","$167,768",643,"9,349",76.22%,23.78%
,2022-06-01 0:00:00,UberEats,C3,"$270,752","-$213,282","9,226","$57,142","$350,544","-$31,442","-$6,128","-$1,548","-$9,382","$3,618","$66,365",180,"2,784",79.99%,20.01%
,2022-07-01 0:00:00,UberEats,C3,"$282,188","-$224,375","9,442","$61,006","$366,763","-$27,908","-$7,190","-$1,758","-$10,869","$3,812","$69,620",199,"2,841",79.43%,20.57%
,2022-08-01 0:00:00,UberEats,C3,"$280,320","-$222,881","9,468","$60,905","$364,716","-$25,710","-$9,193","-$1,521","-$11,201","$3,832","$68,557",192,"2,847",79.74%,20.26%
,2022-09-01 0:00:00,UberEats,C3,"$284,802","-$226,268","9,395","$61,403","$369,940","-$28,867","-$9,884","-$1,513","-$11,604","$3,640","$64,819",189,"2,857",80.07%,19.93%
,2022-10-01 0:00:00,UberEats,C3,"$312,872","-$248,585","10,249","$62,062","$400,726","-$33,675","-$11,382","-$1,644","-$11,384","$3,820","$60,894",194,"3,004",80.32%,19.68%
,2022-11-01 0:00:00,UberEats,C3,"$290,706","-$231,026","9,588","$62,153","$377,262","-$29,097","-$7,785","-$1,874","-$12,335","$3,863","$70,954",178,"2,890",79.92%,20.08%
,2022-12-01 0:00:00,UberEats,C3,"$319,776","-$254,363","10,316","$69,191","$415,773","-$32,297","-$9,710","-$4,616","-$14,604","$4,118","$75,193",214,"3,096",80.21%,19.79%
,2023-01-01 0:00:00,UberEats,C3,"$312,861","-$248,756","10,307","$67,941","$407,040","-$28,650","-$9,902","-$1,833","-$14,960","$4,154","$77,685",194,"3,003",80.23%,19.77%
,2023-02-01 0:00:00,UberEats,C3,"$304,829","-$242,786","10,062","$65,906","$395,666","-$28,660","-$11,793","-$1,076","-$15,529","$4,043","$70,946",177,"2,967",79.21%,20.79%
,2023-03-01 0:00:00,UberEats,C3,"$342,513","-$274,102","11,273","$74,397","$445,427","-$32,402","-$13,006",-$787,"-$17,595","$4,358","$79,403",201,"3,151",78.71%,21.29%
,2023-04-01 0:00:00,UberEats,C3,"$333,928","-$267,443","10,979","$71,837","$433,398","-$31,451","-$11,801","-$1,549","-$16,794","$4,424","$78,586",188,"3,142",78.38%,21.62%
,2023-05-01 0:00:00,UberEats,C3,"$328,524","-$263,720","10,787","$70,072","$426,177","-$29,639","-$10,769","-$1,526","-$15,931","$5,122","$80,528",193,"3,146",78.89%,21.11%
,2023-06-01 0:00:00,UberEats,C3,"$316,769","-$254,687","10,258","$66,375","$410,075","-$28,237","-$5,251","-$1,531","-$14,748","$5,328","$81,614",203,"3,047",80.04%,19.96%
,2022-06-01 0:00:00,UberEats,D1,"$659,744","-$525,156","25,621","$160,412","$872,896","-$87,475","-$15,161","-$4,532","-$26,543","$9,749","$162,135",547,"7,116",75.31%,24.69%
,2022-07-01 0:00:00,UberEats,D1,"$703,238","-$566,255","27,027","$169,530","$929,215","-$84,987","-$22,407","-$4,529","-$31,305","$10,391","$161,253",575,"7,275",76.45%,23.55%
,2022-08-01 0:00:00,UberEats,D1,"$695,422","-$558,214","26,794","$169,038","$920,581","-$84,770","-$29,827","-$3,938","-$32,748","$10,514","$155,184",543,"7,250",76.55%,23.45%
,2022-09-01 0:00:00,UberEats,D1,"$677,644","-$544,301","25,715","$164,228","$896,404","-$75,573","-$27,028","-$3,631","-$32,877","$10,017","$153,519",484,"7,047",75.68%,24.32%
,2022-10-01 0:00:00,UberEats,D1,"$719,700","-$578,046","26,933","$172,028","$948,961","-$82,328","-$27,978","-$4,266","-$36,713","$10,847","$160,757",516,"7,312",75.27%,24.73%
,2022-11-01 0:00:00,UberEats,D1,"$674,839","-$543,107","25,302","$165,350","$894,288","-$78,562","-$24,784","-$4,410","-$36,219","$10,882","$151,650",465,"7,031",74.31%,25.69%
,2022-12-01 0:00:00,UberEats,D1,"$727,838","-$587,021","26,653","$180,135","$966,003","-$79,264","-$26,751","-$5,220","-$41,704","$11,585","$164,480",488,"7,299",75.01%,24.99%
,2023-01-01 0:00:00,UberEats,D1,"$723,043","-$580,826","26,738","$178,090","$958,859","-$74,187","-$30,308","-$5,995","-$44,261","$11,571","$167,221",526,"7,257",75.79%,24.21%
,2023-02-01 0:00:00,UberEats,D1,"$692,658","-$555,882","25,070","$171,058","$919,018","-$71,696","-$36,641","-$4,281","-$45,665","$11,130","$150,130",467,"7,036",75.59%,24.41%
,2023-03-01 0:00:00,UberEats,D1,"$825,035","-$668,069","30,111","$185,996","$1,076,302","-$84,644","-$42,836","-$5,357","-$46,769","$12,137","$162,143",578,"7,764",75.04%,24.96%
,2022-11-01 0:00:00,Postmates,C1,"$27,403","-$22,338",910,"$4,311","$34,286","-$3,295","-$2,297",-$60,-$524,$411,"$2,436",17,297,82.80%,17.20%
,2022-12-01 0:00:00,Postmates,C1,"$30,000","-$24,286",975,"$4,343","$37,013","-$3,355","-$1,982",-$44,-$543,$396,"$3,216",16,301,84.24%,15.76%
,2023-01-01 0:00:00,Postmates,C1,"$29,221","-$23,506",965,"$4,269","$36,104","-$3,083","-$2,191",-$46,-$553,$389,"$3,242",18,265,83.97%,16.03%
,2023-02-01 0:00:00,Postmates,C1,"$27,273","-$22,078",890,"$4,146","$33,896","-$2,901","-$2,482",-$52,-$552,$356,"$2,895",19,255,83.98%,16.02%
,2023-03-01 0:00:00,Postmates,C1,"$31,169","-$25,195","1,010","$4,755","$38,831","-$3,481","-$2,201",-$238,-$652,$397,"$3,679",23,271,83.93%,16.07%
,2023-04-01 0:00:00,Postmates,C1,"$29,481","-$23,896",960,"$4,490","$36,753","-$3,392","-$2,100",-$137,-$586,$357,"$3,521",23,267,83.08%,16.92%
,2023-05-01 0:00:00,Postmates,C1,"$30,000","-$24,156",970,"$4,524","$37,143","-$3,392","-$2,588",-$94,-$574,$372,"$3,263",24,258,83.09%,16.91%
,2023-06-01 0:00:00,Postmates,C1,"$27,662","-$22,338",910,"$4,198","$34,286","-$3,219","-$1,485",-$190,-$530,$362,"$3,590",22,249,83.79%,16.21%
,2022-06-01 0:00:00,Postmates,C2,"$25,714","-$21,039",883,"$5,109","$33,636","-$2,380",-$947,-$109,-$499,$253,"$5,354",48,393,83.48%,16.52%
,2022-07-01 0:00:00,Postmates,C2,"$26,753","-$21,948",909,"$5,135","$34,805","-$2,397","-$1,238",-$85,-$530,$246,"$4,998",53,403,83.38%,16.62%
,2022-08-01 0:00:00,Postmates,C2,"$27,013","-$22,208",905,"$4,899","$34,805","-$2,436","-$1,914",-$62,-$511,$235,"$4,285",53,394,84.85%,15.15%
